Date,Category
1940-10-17,major_catastrophic
1940-10-18,major_catastrophic
1940-10-19,major_catastrophic
1940-10-20,major_catastrophic
1941-09-28,extraordinary
1942-04-16,extraordinary
1942-04-27,extraordinary
1942-04-28,extraordinary
1942-08-20,extraordinary
1943-10-27,extraordinary
1943-12-13,extraordinary
1943-12-14,extraordinary
1943-12-15,extraordinary
1944-02-24,extraordinary
1944-02-25,extraordinary
1948-02-27,extraordinary
1948-02-28,extraordinary
1948-02-29,extraordinary
1948-03-01,extraordinary
1951-10-01,extraordinary
1951-10-02,extraordinary
1951-10-03,extraordinary
1951-10-04,extraordinary
1951-10-09,catastrophic
1951-10-10,catastrophic
1951-10-11,catastrophic
1951-10-12,catastrophic
1952-09-13,extraordinary
1952-10-20,extraordinary
1953-06-29,extraordinary
1953-08-02,extraordinary
1953-08-24,extraordinary
1953-08-25,extraordinary
1953-09-25,catastrophic
1953-09-26,catastrophic
1953-10-11,extraordinary
1956-10-21,extraordinary
1958-07-16,extraordinary
1959-07-24,catastrophic
1959-08-11,catastrophic
1959-09-19,extraordinary
1959-09-20,extraordinary
1959-09-21,extraordinary
1959-09-27,extraordinary
1959-09-29,cat0
1959-10-06,cat0
1959-10-07,cat0
1959-10-10,catastrophic
1959-10-16,extraordinary
1959-10-17,extraordinary
1960-09-01,extraordinary
1961-09-04,extraordinary
1962-09-25,major_catastrophic
1962-09-26,major_catastrophic
1962-10-10,catastrophic
1962-10-11,catastrophic
1962-10-12,catastrophic
1962-10-13,catastrophic
1962-10-14,catastrophic
1962-11-04,catastrophic
1962-11-05,catastrophic
1962-11-06,catastrophic
1962-11-07,catastrophic
1963-08-02,catastrophic
1963-08-03,catastrophic
1963-08-04,catastrophic
1963-08-05,catastrophic
1963-09-11,extraordinary
1963-09-13,extraordinary
1963-09-14,extraordinary
1963-10-09,cat0
1963-11-06,extraordinary
1963-12-08,extraordinary
1963-12-09,extraordinary
1964-08-12,catastrophic
1965-09-25,extraordinary
1965-10-07,catastrophic
1965-10-08,catastrophic
1965-10-09,catastrophic
1965-10-10,catastrophic
1965-10-15,extraordinary
1965-10-16,extraordinary
1965-10-25,extraordinary
1967-04-05,cat0
1967-06-08,extraordinary
1967-11-25,catastrophic
1967-11-26,catastrophic
1967-11-27,catastrophic
1969-03-04,extraordinary
1969-03-05,extraordinary
1969-04-03,extraordinary
1969-04-04,extraordinary
1969-08-29,catastrophic
1969-09-04,extraordinary
1969-10-20,extraordinary
1970-06-18,extraordinary
1970-10-10,catastrophic
1970-10-11,catastrophic
1970-10-12,catastrophic
1971-04-23,extraordinary
1971-07-02,cat0
1971-09-19,major_catastrophic
1971-09-20,major_catastrophic
1971-09-21,major_catastrophic
1971-09-22,major_catastrophic
1971-09-23,major_catastrophic
1971-12-04,catastrophic
1971-12-05,catastrophic
1971-12-06,catastrophic
1972-09-04,extraordinary
1973-09-07,extraordinary
1973-09-08,extraordinary
1973-09-22,extraordinary
1974-03-21,cat0
1974-09-17,catastrophic
1975-08-16,extraordinary
1975-08-21,extraordinary
1975-08-31,extraordinary
1975-09-02,extraordinary
1976-08-28,extraordinary
1977-01-06,extraordinary
1977-01-07,extraordinary
1977-01-08,extraordinary
1977-05-17,extraordinary
1977-05-18,extraordinary
1977-09-22,extraordinary
1977-10-18,catastrophic
1977-10-19,catastrophic
1978-07-08,extraordinary
1978-08-23,extraordinary
1978-09-04,extraordinary
1979-01-19,extraordinary
1979-01-20,extraordinary
1979-10-04,extraordinary
1981-06-27,catastrophic
1981-06-28,catastrophic
1981-08-21,extraordinary
1981-09-03,extraordinary
1981-09-22,cat0
1982-01-14,extraordinary
1982-01-15,extraordinary
1982-01-16,extraordinary
1982-01-17,extraordinary
1982-01-18,extraordinary
1982-02-16,catastrophic
1982-02-17,catastrophic
1982-02-18,catastrophic
1982-03-27,extraordinary
1982-07-23,cat0
1982-07-29,extraordinary
1982-08-04,catastrophic
1982-08-07,extraordinary
1982-09-11,extraordinary
1982-10-22,cat0
1982-10-23,cat0
1982-10-24,cat0
1982-11-06,major_catastrophic
1982-11-07,major_catastrophic
1982-11-08,major_catastrophic
1983-08-22,extraordinary
1983-08-23,extraordinary
1983-09-08,cat0
1983-10-04,extraordinary
1983-10-05,extraordinary
1983-11-06,catastrophic
1983-11-07,catastrophic
1983-11-08,catastrophic
1983-11-14,extraordinary
1983-11-15,extraordinary
1984-03-14,cat0
1984-05-22,cat0
1984-08-27,cat0
1984-11-05,cat0
1984-11-08,extraordinary
1984-11-09,extraordinary
1984-11-10,extraordinary
1984-11-11,extraordinary
1985-10-08,extraordinary
1985-10-19,cat0
1985-10-25,cat0
1986-03-01,extraordinary
1986-03-02,extraordinary
1986-03-03,extraordinary
1986-03-04,extraordinary
1986-03-05,extraordinary
1986-09-06,catastrophic
1986-09-25,cat0
1986-09-28,extraordinary
1986-09-29,extraordinary
1986-09-30,extraordinary
1986-10-01,extraordinary
1986-10-02,extraordinary
1986-10-12,catastrophic
1986-10-13,catastrophic
1986-10-14,catastrophic
1986-10-15,catastrophic
1987-07-30,cat0
1987-08-27,extraordinary
1987-09-02,extraordinary
1987-09-28,major_catastrophic
1987-09-29,major_catastrophic
1987-09-30,major_catastrophic
1987-10-01,major_catastrophic
1987-10-02,major_catastrophic
1987-10-03,major_catastrophic
1987-10-04,major_catastrophic
1987-10-05,major_catastrophic
1987-10-10,extraordinary
1987-10-11,extraordinary
1987-12-03,extraordinary
1987-12-04,extraordinary
1988-05-26,extraordinary
1988-06-06,extraordinary
1988-06-24,extraordinary
1988-06-25,extraordinary
1988-07-02,cat0
1988-09-29,cat0
1988-09-30,cat0
1988-10-01,cat0
1988-10-05,cat0
1988-11-08,catastrophic
1988-11-09,catastrophic
1988-11-10,catastrophic
1988-11-11,catastrophic
1988-11-12,catastrophic
1988-11-13,catastrophic
1989-08-05,extraordinary
1989-08-09,extraordinary
1989-08-10,extraordinary
1989-08-30,extraordinary
1989-08-31,extraordinary
1989-10-11,cat0
1989-10-28,extraordinary
1989-11-14,catastrophic
1989-11-15,catastrophic
1989-11-16,catastrophic
1989-11-17,catastrophic
1989-11-18,catastrophic
1990-05-22,extraordinary
1990-05-23,extraordinary
1990-08-06,cat0
1990-08-07,cat0
1990-09-04,extraordinary
1990-10-11,cat0
1990-10-15,extraordinary
1990-10-22,extraordinary
1991-05-08,extraordinary
1991-05-09,extraordinary
1991-05-10,extraordinary
1991-05-11,extraordinary
1991-08-08,extraordinary
1991-08-09,extraordinary
1991-09-25,extraordinary
1991-09-26,extraordinary
1991-09-27,extraordinary
1991-09-28,extraordinary
1991-09-29,extraordinary
1991-10-04,cat0
1991-12-01,extraordinary
1991-12-02,extraordinary
1991-12-03,extraordinary
1991-12-04,extraordinary
1991-12-11,cat0
1992-06-01,extraordinary
1992-06-02,extraordinary
1992-06-10,extraordinary
1992-06-16,extraordinary
1992-06-22,extraordinary
1992-07-11,extraordinary
1992-09-26,extraordinary
1992-09-27,extraordinary
1992-09-28,extraordinary
1993-05-18,cat0
1993-05-19,cat0
1993-05-20,cat0
1993-05-21,cat0
1993-05-22,cat0
1993-05-23,cat0
1993-05-24,cat0
1993-05-25,cat0
1993-05-26,cat0
1993-05-27,cat0
1993-05-28,cat0
1993-05-29,cat0
1993-08-15,cat0
1993-08-24,cat0
1993-08-26,cat0
1993-09-06,cat0
1993-09-11,extraordinary
1993-09-22,extraordinary
1993-09-23,extraordinary
1993-09-24,extraordinary
1993-09-30,extraordinary
1993-10-26,cat0
1994-09-14,extraordinary
1994-09-17,extraordinary
1994-09-23,extraordinary
1994-09-29,cat0
1994-10-09,major_catastrophic
1994-10-10,major_catastrophic
1994-10-11,major_catastrophic
1994-10-18,extraordinary
1994-10-19,extraordinary
1994-10-20,extraordinary
1994-10-27,cat0
1994-11-04,catastrophic
1995-08-06,cat0
